County,State,Labor Force,Employed,Unemployed,Unemployment Rate,Year
Polk County,FL,"273,152","242,326","30,826",11.3,2009
Putnam County,FL,"32,311","28,514","3,797",11.8,2009
St. Johns County,FL,"96,570","88,459","8,111",8.4,2009
St. Lucie County,FL,"123,665","107,098","16,567",13.4,2009
Santa Rosa County,FL,"70,216","63,859","6,357",9.1,2009
Sarasota County,FL,"161,799","143,465","18,334",11.3,2009
Seminole County,FL,"235,674","212,497","23,177",9.8,2009
Sumter County,FL,"31,877","28,967","2,910",9.1,2009
Suwannee County,FL,"17,450","15,765","1,685",9.7,2009
Taylor County,FL,"9,167","8,181",986,10.8,2009
Union County,FL,"5,388","4,982",406,7.5,2009
Volusia County,FL,"252,474","225,174","27,300",10.8,2009
Wakulla County,FL,"16,732","15,569","1,163",7,2009
Walton County,FL,"30,837","28,499","2,338",7.6,2009
Washington County,FL,"9,920","8,922",998,10.1,2009
Appling County,GA,"9,455","8,500",955,10.1,2009
Atkinson County,GA,"3,289","2,797",492,15,2009
Bacon County,GA,"4,643","4,207",436,9.4,2009
Baker County,GA,"1,586","1,439",147,9.3,2009
Baldwin County,GA,"20,401","17,868","2,533",12.4,2009
Banks County,GA,"10,552","9,747",805,7.6,2009
Barrow County,GA,"35,215","31,479","3,736",10.6,2009
Bartow County,GA,"46,443","40,810","5,633",12.1,2009
Ben Hill County,GA,"7,286","6,148","1,138",15.6,2009
Berrien County,GA,"8,211","7,140","1,071",13,2009
Bibb County,GA,"74,638","67,382","7,256",9.7,2009
Bleckley County,GA,"5,451","4,908",543,10,2009
Brantley County,GA,"7,545","6,723",822,10.9,2009
Brooks County,GA,"8,022","7,334",688,8.6,2009
Bryan County,GA,"16,983","15,653","1,330",7.8,2009
Bulloch County,GA,"32,964","29,867","3,097",9.4,2009
Burke County,GA,"9,939","8,759","1,180",11.9,2009
Butts County,GA,"10,144","8,923","1,221",12,2009
Calhoun County,GA,"2,343","2,080",263,11.2,2009
Camden County,GA,"20,757","18,902","1,855",8.9,2009
Candler County,GA,"4,341","3,938",403,9.3,2009
Carroll County,GA,"52,693","46,910","5,783",11,2009
Catoosa County,GA,"34,611","31,689","2,922",8.4,2009
Charlton County,GA,"4,472","3,983",489,10.9,2009
Chatham County,GA,"131,170","119,831","11,339",8.6,2009
Chattahoochee County,GA,"2,621","2,232",389,14.8,2009
Chattooga County,GA,"10,773","9,339","1,434",13.3,2009
Cherokee County,GA,"110,242","100,467","9,775",8.9,2009
Clarke County,GA,"64,085","59,216","4,869",7.6,2009
Clay County,GA,"1,414","1,293",121,8.6,2009
Clayton County,GA,"133,143","117,459","15,684",11.8,2009
Clinch County,GA,"2,789","2,482",307,11,2009
Cobb County,GA,"374,868","340,632","34,236",9.1,2009
Coffee County,GA,"16,376","13,854","2,522",15.4,2009
Colquitt County,GA,"20,475","18,610","1,865",9.1,2009
Columbia County,GA,"60,883","56,676","4,207",6.9,2009
Cook County,GA,"6,967","6,077",890,12.8,2009
Coweta County,GA,"61,330","55,295","6,035",9.8,2009
Crawford County,GA,"6,075","5,465",610,10,2009
Crisp County,GA,"9,765","8,574","1,191",12.2,2009
Dade County,GA,"8,146","7,294",852,10.5,2009
Dawson County,GA,"11,256","10,134","1,122",10,2009
Decatur County,GA,"11,912","10,404","1,508",12.7,2009
DeKalb County,GA,"381,335","343,126","38,209",10,2009
Dodge County,GA,"9,079","8,104",975,10.7,2009
Dooly County,GA,"4,836","4,356",480,9.9,2009
Dougherty County,GA,"42,209","37,762","4,447",10.5,2009
Douglas County,GA,"65,190","58,135","7,055",10.8,2009
Early County,GA,"5,517","4,937",580,10.5,2009
Echols County,GA,"2,204","2,045",159,7.2,2009
Effingham County,GA,"28,603","26,247","2,356",8.2,2009
Elbert County,GA,"10,045","8,816","1,229",12.2,2009
Emanuel County,GA,"10,568","9,438","1,130",10.7,2009
Evans County,GA,"4,958","4,524",434,8.8,2009
Fannin County,GA,"10,811","9,676","1,135",10.5,2009
Fayette County,GA,"51,081","46,776","4,305",8.4,2009
Floyd County,GA,"49,526","44,302","5,224",10.5,2009
Forsyth County,GA,"87,995","80,815","7,180",8.2,2009
Franklin County,GA,"10,261","9,042","1,219",11.9,2009
Fulton County,GA,"486,983","437,746","49,237",10.1,2009
Gilmer County,GA,"13,620","12,206","1,414",10.4,2009
Glascock County,GA,"1,133","1,004",129,11.4,2009
Glynn County,GA,"40,419","37,002","3,417",8.5,2009
Gordon County,GA,"25,498","22,190","3,308",13,2009
Grady County,GA,"11,764","10,622","1,142",9.7,2009
Greene County,GA,"7,588","6,727",861,11.3,2009
Gwinnett County,GA,"417,641","380,094","37,547",9,2009
Habersham County,GA,"20,243","18,218","2,025",10,2009
Hall County,GA,"89,690","81,284","8,406",9.4,2009
Hancock County,GA,"3,290","2,645",645,19.6,2009
Haralson County,GA,"12,665","11,142","1,523",12,2009
Harris County,GA,"16,406","15,215","1,191",7.3,2009
Hart County,GA,"10,458","9,051","1,407",13.5,2009
Heard County,GA,"4,893","4,255",638,13,2009
Henry County,GA,"97,375","87,884","9,491",9.7,2009
Houston County,GA,"70,793","65,701","5,092",7.2,2009
Irwin County,GA,"4,070","3,456",614,15.1,2009
Jackson County,GA,"27,055","24,053","3,002",11.1,2009
Jasper County,GA,"6,461","5,651",810,12.5,2009
Jeff Davis County,GA,"5,357","4,619",738,13.8,2009
Jefferson County,GA,"7,106","6,078","1,028",14.5,2009
Jenkins County,GA,"2,723","2,192",531,19.5,2009
Johnson County,GA,"3,542","3,099",443,12.5,2009
Jones County,GA,"14,322","13,095","1,227",8.6,2009
Lamar County,GA,"8,134","7,031","1,103",13.6,2009
Lanier County,GA,"4,139","3,764",375,9.1,2009
Laurens County,GA,"22,061","19,591","2,470",11.2,2009
Lee County,GA,"18,181","16,865","1,316",7.2,2009
Liberty County,GA,"26,003","23,796","2,207",8.5,2009
Lincoln County,GA,"3,902","3,477",425,10.9,2009
Long County,GA,"6,655","6,220",435,6.5,2009
Lowndes County,GA,"53,907","49,335","4,572",8.5,2009
Lumpkin County,GA,"13,305","11,743","1,562",11.7,2009
McDuffie County,GA,"10,793","9,561","1,232",11.4,2009
McIntosh County,GA,"5,276","4,741",535,10.1,2009
Macon County,GA,"5,196","4,551",645,12.4,2009
Madison County,GA,"15,786","14,410","1,376",8.7,2009
Marion County,GA,"3,317","2,987",330,9.9,2009
Meriwether County,GA,"9,449","8,148","1,301",13.8,2009
Miller County,GA,"3,615","3,301",314,8.7,2009
Mitchell County,GA,"10,395","9,354","1,041",10,2009
Monroe County,GA,"13,800","12,547","1,253",9.1,2009
Montgomery County,GA,"4,484","4,082",402,9,2009
Morgan County,GA,"9,346","8,415",931,10,2009
Murray County,GA,"19,722","17,163","2,559",13,2009
Muscogee County,GA,"86,098","78,276","7,822",9.1,2009
Newton County,GA,"47,101","41,333","5,768",12.2,2009
Oconee County,GA,"18,585","17,429","1,156",6.2,2009
Oglethorpe County,GA,"7,817","7,153",664,8.5,2009
Paulding County,GA,"67,939","61,065","6,874",10.1,2009
Peach County,GA,"12,340","11,063","1,277",10.3,2009
Pickens County,GA,"15,098","13,498","1,600",10.6,2009
Pierce County,GA,"8,678","7,864",814,9.4,2009
Pike County,GA,"8,077","7,192",885,11,2009
Polk County,GA,"21,188","18,905","2,283",10.8,2009
Pulaski County,GA,"4,357","4,017",340,7.8,2009
Putnam County,GA,"10,371","9,234","1,137",11,2009
Quitman County,GA,968,853,115,11.9,2009
Rabun County,GA,"6,968","6,244",724,10.4,2009
Randolph County,GA,"2,752","2,417",335,12.2,2009
Richmond County,GA,"91,254","82,033","9,221",10.1,2009
Rockdale County,GA,"40,153","35,680","4,473",11.1,2009
Schley County,GA,"1,903","1,661",242,12.7,2009
Screven County,GA,"7,302","6,268","1,034",14.2,2009
Seminole County,GA,"4,090","3,649",441,10.8,2009
Spalding County,GA,"28,894","24,798","4,096",14.2,2009
Stephens County,GA,"13,894","12,420","1,474",10.6,2009
Stewart County,GA,"2,317","2,071",246,10.6,2009
Sumter County,GA,"14,387","12,520","1,867",13,2009
Talbot County,GA,"3,125","2,830",295,9.4,2009
Taliaferro County,GA,833,712,121,14.5,2009
Tattnall County,GA,"9,356","8,513",843,9,2009
Taylor County,GA,"3,550","3,128",422,11.9,2009
Telfair County,GA,"4,616","3,973",643,13.9,2009
Terrell County,GA,"4,442","3,982",460,10.4,2009
Thomas County,GA,"21,412","19,442","1,970",9.2,2009
Tift County,GA,"18,876","16,808","2,068",11,2009
Toombs County,GA,"13,911","12,535","1,376",9.9,2009
Towns County,GA,"5,740","5,241",499,8.7,2009
Treutlen County,GA,"2,927","2,592",335,11.4,2009
Troup County,GA,"30,909","26,923","3,986",12.9,2009
Turner County,GA,"4,626","3,975",651,14.1,2009
Twiggs County,GA,"4,654","4,139",515,11.1,2009
Union County,GA,"10,984","9,944","1,040",9.5,2009
Upson County,GA,"11,912","10,371","1,541",12.9,2009
Walker County,GA,"32,199","28,683","3,516",10.9,2009
Walton County,GA,"41,476","37,166","4,310",10.4,2009
Ware County,GA,"14,894","13,276","1,618",10.9,2009
Warren County,GA,"2,623","2,149",474,18.1,2009
Washington County,GA,"7,917","6,831","1,086",13.7,2009
Wayne County,GA,"12,050","10,633","1,417",11.8,2009
Webster County,GA,"1,193","1,074",119,10,2009
Wheeler County,GA,"2,930","2,648",282,9.6,2009
White County,GA,"12,387","11,177","1,210",9.8,2009
Whitfield County,GA,"44,109","38,481","5,628",12.8,2009
Wilcox County,GA,"3,252","2,862",390,12,2009
Wilkes County,GA,"4,495","3,959",536,11.9,2009
Wilkinson County,GA,"4,627","4,113",514,11.1,2009
Worth County,GA,"10,156","9,132","1,024",10.1,2009
Hawaii County,HI,"83,897","75,348","8,549",10.2,2009
Honolulu County,HI,"439,761","413,213","26,548",6,2009
Kauai County,HI,"31,990","28,865","3,125",9.8,2009
Maui County,HI,"76,043","69,097","6,946",9.1,2009
Ada County,ID,"196,383","178,892","17,491",8.9,2009
Adams County,ID,"2,123","1,776",347,16.3,2009
Bannock County,ID,"39,350","36,263","3,087",7.8,2009
Bear Lake County,ID,"3,365","3,165",200,5.9,2009
Benewah County,ID,"4,174","3,549",625,15,2009
Bingham County,ID,"21,828","20,393","1,435",6.6,2009
Blaine County,ID,"13,348","12,232","1,116",8.4,2009
Boise County,ID,"3,384","3,080",304,9,2009
Bonner County,ID,"20,958","18,630","2,328",11.1,2009
Bonneville County,ID,"50,059","46,872","3,187",6.4,2009
Boundary County,ID,"4,410","3,812",598,13.6,2009
Butte County,ID,"1,471","1,387",84,5.7,2009
Camas County,ID,598,535,63,10.5,2009
Canyon County,ID,"85,238","75,643","9,595",11.3,2009
Caribou County,ID,"3,464","3,233",231,6.7,2009
Cassia County,ID,"10,190","9,581",609,6,2009
Clark County,ID,549,516,33,6,2009
Clearwater County,ID,"3,523","3,001",522,14.8,2009
Custer County,ID,"2,677","2,514",163,6.1,2009
Elmore County,ID,"11,408","10,435",973,8.5,2009
Franklin County,ID,"5,794","5,473",321,5.5,2009
Fremont County,ID,"5,553","5,059",494,8.9,2009
Gem County,ID,"6,985","6,168",817,11.7,2009
Gooding County,ID,"8,380","7,857",523,6.2,2009
Idaho County,ID,"7,358","6,541",817,11.1,2009
Jefferson County,ID,"11,502","10,694",808,7,2009
Jerome County,ID,"10,447","9,705",742,7.1,2009
Kootenai County,ID,"70,972","63,805","7,167",10.1,2009
Latah County,ID,"17,794","16,583","1,211",6.8,2009
Lemhi County,ID,"3,975","3,617",358,9,2009
Lewis County,ID,"1,779","1,671",108,6.1,2009
Lincoln County,ID,"2,584","2,275",309,12,2009
Madison County,ID,"16,049","15,071",978,6.1,2009
Minidoka County,ID,"9,494","8,857",637,6.7,2009
Nez Perce County,ID,"18,704","17,435","1,269",6.8,2009
Oneida County,ID,"2,221","2,082",139,6.3,2009
Owyhee County,ID,"4,328","4,135",193,4.5,2009
Payette County,ID,"11,007","9,915","1,092",9.9,2009
Power County,ID,"3,458","3,177",281,8.1,2009
Shoshone County,ID,"6,304","5,414",890,14.1,2009
Teton County,ID,"5,287","4,920",367,6.9,2009
Twin Falls County,ID,"39,024","36,292","2,732",7,2009
Valley County,ID,"4,710","4,031",679,14.4,2009
Washington County,ID,"4,921","4,433",488,9.9,2009
Adams County,IL,"38,261","35,468","2,793",7.3,2009
Alexander County,IL,"3,000","2,632",368,12.3,2009
Bond County,IL,"8,563","7,717",846,9.9,2009
Boone County,IL,"26,118","22,086","4,032",15.4,2009
Brown County,IL,"3,465","3,309",156,4.5,2009
Bureau County,IL,"19,259","17,230","2,029",10.5,2009
Calhoun County,IL,"2,485","2,236",249,10,2009
Carroll County,IL,"8,289","7,388",901,10.9,2009
Cass County,IL,"7,683","7,150",533,6.9,2009
Champaign County,IL,"105,240","96,480","8,760",8.3,2009
Christian County,IL,"17,721","15,949","1,772",10,2009
Clark County,IL,"8,112","7,053","1,059",13.1,2009
Clay County,IL,"6,467","5,654",813,12.6,2009
Clinton County,IL,"18,650","17,070","1,580",8.5,2009
Coles County,IL,"27,673","25,159","2,514",9.1,2009
Cook County,IL,"2,604,692","2,330,033","274,659",10.5,2009
Crawford County,IL,"9,721","8,755",966,9.9,2009
Cumberland County,IL,"5,568","5,021",547,9.8,2009
DeKalb County,IL,"60,157","54,136","6,021",10,2009
De Witt County,IL,"8,817","8,066",751,8.5,2009
Douglas County,IL,"10,219","9,326",893,8.7,2009
DuPage County,IL,"525,702","480,627","45,075",8.6,2009
Edgar County,IL,"10,173","9,128","1,045",10.3,2009
Edwards County,IL,"3,108","2,824",284,9.1,2009
Effingham County,IL,"18,145","16,685","1,460",8,2009
Fayette County,IL,"10,119","9,005","1,114",11,2009
Ford County,IL,"7,098","6,389",709,10,2009
Franklin County,IL,"17,682","15,376","2,306",13,2009
Fulton County,IL,"18,498","16,395","2,103",11.4,2009
Gallatin County,IL,"2,628","2,365",263,10,2009
Greene County,IL,"6,775","6,208",567,8.4,2009
Grundy County,IL,"26,702","23,440","3,262",12.2,2009
Hamilton County,IL,"4,070","3,687",383,9.4,2009
Hancock County,IL,"9,438","8,389","1,049",11.1,2009
Hardin County,IL,"1,760","1,567",193,11,2009
Henderson County,IL,"3,800","3,437",363,9.6,2009
Henry County,IL,"26,772","24,315","2,457",9.2,2009
Iroquois County,IL,"16,749","15,144","1,605",9.6,2009
Jackson County,IL,"32,119","29,774","2,345",7.3,2009
Jasper County,IL,"4,942","4,488",454,9.2,2009
Jefferson County,IL,"20,595","18,627","1,968",9.6,2009
Jersey County,IL,"11,544","10,460","1,084",9.4,2009
Jo Daviess County,IL,"13,081","11,908","1,173",9,2009
Johnson County,IL,"5,095","4,559",536,10.5,2009
Kane County,IL,"271,256","242,898","28,358",10.5,2009
Kankakee County,IL,"56,196","49,319","6,877",12.2,2009
Kendall County,IL,"60,357","54,244","6,113",10.1,2009
Knox County,IL,"25,980","23,477","2,503",9.6,2009
Lake County,IL,"363,170","327,443","35,727",9.8,2009
LaSalle County,IL,"59,434","52,189","7,245",12.2,2009
Lawrence County,IL,"8,182","7,362",820,10,2009
Lee County,IL,"18,308","16,391","1,917",10.5,2009
Livingston County,IL,"19,293","17,310","1,983",10.3,2009
Logan County,IL,"13,354","12,116","1,238",9.3,2009
McDonough County,IL,"16,951","15,496","1,455",8.6,2009
McHenry County,IL,"181,149","163,369","17,780",9.8,2009
McLean County,IL,"91,493","84,871","6,622",7.2,2009
Macon County,IL,"54,824","48,534","6,290",11.5,2009
Macoupin County,IL,"24,007","21,463","2,544",10.6,2009
Madison County,IL,"138,514","124,337","14,177",10.2,2009
Marion County,IL,"18,338","16,151","2,187",11.9,2009
Marshall County,IL,"7,117","6,370",747,10.5,2009
Mason County,IL,"7,573","6,642",931,12.3,2009
Massac County,IL,"7,161","6,518",643,9,2009
Menard County,IL,"6,905","6,394",511,7.4,2009
Mercer County,IL,"8,648","7,756",892,10.3,2009
Monroe County,IL,"18,415","16,979","1,436",7.8,2009
Montgomery County,IL,"13,332","11,749","1,583",11.9,2009
Morgan County,IL,"17,572","16,153","1,419",8.1,2009
Moultrie County,IL,"7,857","7,173",684,8.7,2009
Ogle County,IL,"27,507","24,082","3,425",12.5,2009
Peoria County,IL,"97,678","86,910","10,768",11,2009
Perry County,IL,"9,411","8,283","1,128",12,2009
Piatt County,IL,"8,881","8,170",711,8,2009
Pike County,IL,"8,469","7,787",682,8.1,2009
Pope County,IL,"1,901","1,704",197,10.4,2009
Pulaski County,IL,"2,845","2,529",316,11.1,2009
Putnam County,IL,"3,306","2,857",449,13.6,2009
Randolph County,IL,"15,203","13,798","1,405",9.2,2009
Richland County,IL,"7,275","6,543",732,10.1,2009
Rock Island County,IL,"77,840","70,668","7,172",9.2,2009
St. Clair County,IL,"124,016","110,497","13,519",10.9,2009
Saline County,IL,"12,658","11,404","1,254",9.9,2009
Sangamon County,IL,"107,780","99,740","8,040",7.5,2009
Schuyler County,IL,"4,229","3,945",284,6.7,2009
Scott County,IL,"2,710","2,499",211,7.8,2009
Shelby County,IL,"11,139","10,042","1,097",9.8,2009
Stark County,IL,"2,837","2,543",294,10.4,2009
Stephenson County,IL,"25,080","22,221","2,859",11.4,2009
Tazewell County,IL,"73,081","65,372","7,709",10.5,2009
Union County,IL,"8,112","7,204",908,11.2,2009
Vermilion County,IL,"37,138","32,854","4,284",11.5,2009
Wabash County,IL,"6,047","5,419",628,10.4,2009
Warren County,IL,"9,232","8,543",689,7.5,2009
Washington County,IL,"8,070","7,417",653,8.1,2009
Wayne County,IL,"8,135","7,324",811,10,2009
White County,IL,"7,697","7,035",662,8.6,2009
Whiteside County,IL,"30,420","27,271","3,149",10.4,2009
Will County,IL,"366,938","329,028","37,910",10.3,2009
Williamson County,IL,"34,652","31,447","3,205",9.2,2009
Winnebago County,IL,"144,984","123,174","21,810",15,2009
Woodford County,IL,"21,245","19,494","1,751",8.2,2009
Adams County,IN,"15,118","12,911","2,207",14.6,2009
Allen County,IN,"178,193","159,522","18,671",10.5,2009
Bartholomew County,IN,"38,446","34,763","3,683",9.6,2009
Benton County,IN,"4,284","3,857",427,10,2009
Blackford County,IN,"6,413","5,512",901,14,2009
Boone County,IN,"28,281","26,091","2,190",7.7,2009
Brown County,IN,"7,450","6,711",739,9.9,2009
Carroll County,IN,"10,015","8,953","1,062",10.6,2009
Cass County,IN,"18,725","16,477","2,248",12,2009
Clark County,IN,"56,018","51,137","4,881",8.7,2009
Clay County,IN,"13,005","11,542","1,463",11.2,2009
Clinton County,IN,"16,947","15,123","1,824",10.8,2009
Crawford County,IN,"5,214","4,575",639,12.3,2009
Daviess County,IN,"14,933","14,056",877,5.9,2009
Dearborn County,IN,"26,096","23,533","2,563",9.8,2009
Decatur County,IN,"12,627","11,061","1,566",12.4,2009
DeKalb County,IN,"20,352","17,572","2,780",13.7,2009
Delaware County,IN,"55,337","49,432","5,905",10.7,2009
Dubois County,IN,"22,056","20,410","1,646",7.5,2009
Elkhart County,IN,"90,688","74,478","16,210",17.9,2009
Fayette County,IN,"9,852","8,359","1,493",15.2,2009
Floyd County,IN,"37,975","34,731","3,244",8.5,2009
Fountain County,IN,"8,407","7,341","1,066",12.7,2009
Franklin County,IN,"11,598","10,381","1,217",10.5,2009
Fulton County,IN,"9,999","8,726","1,273",12.7,2009
Gibson County,IN,"16,738","15,275","1,463",8.7,2009
Grant County,IN,"33,063","29,181","3,882",11.7,2009
Greene County,IN,"15,988","14,627","1,361",8.5,2009
Hamilton County,IN,"145,126","135,556","9,570",6.6,2009
Hancock County,IN,"36,104","33,024","3,080",8.5,2009
Harrison County,IN,"19,525","17,731","1,794",9.2,2009
Hendricks County,IN,"73,661","68,044","5,617",7.6,2009
Henry County,IN,"22,785","19,898","2,887",12.7,2009
Howard County,IN,"35,612","30,352","5,260",14.8,2009
Huntington County,IN,"19,731","17,203","2,528",12.8,2009
Jackson County,IN,"21,252","18,886","2,366",11.1,2009
Jasper County,IN,"15,686","14,090","1,596",10.2,2009
Jay County,IN,"11,365","10,084","1,281",11.3,2009
Jefferson County,IN,"16,573","14,772","1,801",10.9,2009
Jennings County,IN,"13,626","11,773","1,853",13.6,2009
Johnson County,IN,"74,520","68,356","6,164",8.3,2009
Knox County,IN,"19,814","18,345","1,469",7.4,2009
Kosciusko County,IN,"41,388","36,272","5,116",12.4,2009
LaGrange County,IN,"15,541","12,838","2,703",17.4,2009
Lake County,IN,"226,034","201,966","24,068",10.6,2009
LaPorte County,IN,"52,587","46,350","6,237",11.9,2009
Lawrence County,IN,"21,768","18,901","2,867",13.2,2009
Madison County,IN,"62,377","55,572","6,805",10.9,2009
Marion County,IN,"457,524","414,853","42,671",9.3,2009
Marshall County,IN,"22,539","19,497","3,042",13.5,2009
Martin County,IN,"5,221","4,841",380,7.3,2009
Miami County,IN,"16,177","13,838","2,339",14.5,2009
Monroe County,IN,"70,550","65,986","4,564",6.5,2009
Montgomery County,IN,"18,789","16,882","1,907",10.1,2009
Morgan County,IN,"36,623","33,260","3,363",9.2,2009
Newton County,IN,"6,834","6,070",764,11.2,2009
Noble County,IN,"22,161","18,358","3,803",17.2,2009
Ohio County,IN,"3,088","2,755",333,10.8,2009
Orange County,IN,"10,450","9,333","1,117",10.7,2009
Owen County,IN,"11,537","10,449","1,088",9.4,2009
Parke County,IN,"8,032","7,229",803,10,2009
Perry County,IN,"9,616","8,635",981,10.2,2009
Pike County,IN,"5,850","5,291",559,9.6,2009
Porter County,IN,"84,211","76,343","7,868",9.3,2009
Posey County,IN,"13,176","12,102","1,074",8.2,2009
Pulaski County,IN,"6,750","6,046",704,10.4,2009
Putnam County,IN,"17,218","15,341","1,877",10.9,2009
Randolph County,IN,"12,847","11,311","1,536",12,2009
Ripley County,IN,"13,765","12,275","1,490",10.8,2009
Rush County,IN,"9,086","8,132",954,10.5,2009
St. Joseph County,IN,"129,097","114,259","14,838",11.5,2009
Scott County,IN,"10,951","9,534","1,417",12.9,2009
Shelby County,IN,"23,647","21,179","2,468",10.4,2009
Spencer County,IN,"10,387","9,431",956,9.2,2009
Starke County,IN,"10,729","9,207","1,522",14.2,2009
Steuben County,IN,"16,301","13,930","2,371",14.5,2009
Sullivan County,IN,"8,850","7,971",879,9.9,2009
Switzerland County,IN,"5,673","5,224",449,7.9,2009
Tippecanoe County,IN,"84,263","76,584","7,679",9.1,2009
Tipton County,IN,"7,216","6,277",939,13,2009
Union County,IN,"3,527","3,166",361,10.2,2009
Vanderburgh County,IN,"90,591","83,152","7,439",8.2,2009
Vermillion County,IN,"7,975","7,010",965,12.1,2009
Vigo County,IN,"50,961","45,807","5,154",10.1,2009
Wabash County,IN,"16,331","14,199","2,132",13.1,2009
Warren County,IN,"4,646","4,159",487,10.5,2009
Warrick County,IN,"31,087","28,692","2,395",7.7,2009
Washington County,IN,"14,037","12,360","1,677",11.9,2009
Wayne County,IN,"32,296","28,309","3,987",12.3,2009
Wells County,IN,"14,223","12,705","1,518",10.7,2009
White County,IN,"12,426","11,052","1,374",11.1,2009
Whitley County,IN,"17,854","15,608","2,246",12.6,2009
Adair County,IA,"4,239","3,994",245,5.8,2009
Adams County,IA,"2,154","2,023",131,6.1,2009
Allamakee County,IA,"7,558","6,786",772,10.2,2009
Appanoose County,IA,"6,244","5,703",541,8.7,2009
Audubon County,IA,"3,291","3,099",192,5.8,2009
Benton County,IA,"14,745","13,815",930,6.3,2009
Black Hawk County,IA,"74,993","70,415","4,578",6.1,2009
Boone County,IA,"15,821","14,882",939,5.9,2009
Bremer County,IA,"13,892","13,140",752,5.4,2009
Buchanan County,IA,"11,232","10,490",742,6.6,2009
Buena Vista County,IA,"10,777","10,212",565,5.2,2009
Butler County,IA,"8,502","7,944",558,6.6,2009
Calhoun County,IA,"5,272","5,000",272,5.2,2009
Carroll County,IA,"12,386","11,864",522,4.2,2009
Cass County,IA,"7,671","7,153",518,6.8,2009
Cedar County,IA,"11,457","10,817",640,5.6,2009
Cerro Gordo County,IA,"25,563","23,792","1,771",6.9,2009
Cherokee County,IA,"6,614","6,312",302,4.6,2009
Chickasaw County,IA,"6,962","6,344",618,8.9,2009
Clarke County,IA,"4,937","4,561",376,7.6,2009
Clay County,IA,"9,584","8,931",653,6.8,2009
Clayton County,IA,"9,996","9,139",857,8.6,2009
Clinton County,IA,"28,228","26,181","2,047",7.3,2009
Crawford County,IA,"9,558","9,116",442,4.6,2009
Dallas County,IA,"34,990","33,263","1,727",4.9,2009
Davis County,IA,"4,054","3,684",370,9.1,2009
Decatur County,IA,"4,205","3,922",283,6.7,2009
Delaware County,IA,"10,883","10,152",731,6.7,2009
Des Moines County,IA,"21,189","19,486","1,703",8,2009
Dickinson County,IA,"9,387","8,719",668,7.1,2009
Dubuque County,IA,"52,911","49,417","3,494",6.6,2009
Emmet County,IA,"5,873","5,387",486,8.3,2009
Fayette County,IA,"10,976","10,031",945,8.6,2009
Floyd County,IA,"8,569","7,819",750,8.8,2009
Franklin County,IA,"5,881","5,446",435,7.4,2009
Fremont County,IA,"3,796","3,535",261,6.9,2009
Greene County,IA,"5,122","4,821",301,5.9,2009
Grundy County,IA,"6,957","6,552",405,5.8,2009
Guthrie County,IA,"5,732","5,372",360,6.3,2009
Hamilton County,IA,"8,263","7,633",630,7.6,2009
Hancock County,IA,"5,652","5,087",565,10,2009
Hardin County,IA,"9,372","8,757",615,6.6,2009
Harrison County,IA,"7,703","7,321",382,5,2009
Henry County,IA,"9,863","8,944",919,9.3,2009
Howard County,IA,"5,097","4,649",448,8.8,2009
Humboldt County,IA,"5,154","4,848",306,5.9,2009
Ida County,IA,"3,985","3,769",216,5.4,2009
Iowa County,IA,"8,596","7,984",612,7.1,2009
Jackson County,IA,"11,240","10,300",940,8.4,2009
Jasper County,IA,"17,834","16,304","1,530",8.6,2009
Jefferson County,IA,"8,272","7,559",713,8.6,2009
Johnson County,IA,"80,726","77,133","3,593",4.5,2009
Jones County,IA,"10,776","10,005",771,7.2,2009
Keokuk County,IA,"5,711","5,255",456,8,2009
Kossuth County,IA,"8,981","8,453",528,5.9,2009
Lee County,IA,"17,434","15,650","1,784",10.2,2009
Linn County,IA,"123,192","115,728","7,464",6.1,2009
Louisa County,IA,"5,983","5,488",495,8.3,2009
Lucas County,IA,"4,690","4,390",300,6.4,2009
Lyon County,IA,"6,922","6,626",296,4.3,2009
Madison County,IA,"8,276","7,718",558,6.7,2009
Mahaska County,IA,"11,852","10,870",982,8.3,2009
Marion County,IA,"17,487","16,320","1,167",6.7,2009
Marshall County,IA,"20,623","19,113","1,510",7.3,2009
Mills County,IA,"7,963","7,598",365,4.6,2009
Mitchell County,IA,"5,836","5,493",343,5.9,2009
Monona County,IA,"4,568","4,226",342,7.5,2009
Monroe County,IA,"4,337","4,008",329,7.6,2009
Montgomery County,IA,"5,271","4,800",471,8.9,2009
Muscatine County,IA,"23,877","21,801","2,076",8.7,2009
O'Brien County,IA,"7,889","7,471",418,5.3,2009
Osceola County,IA,"3,324","3,119",205,6.2,2009
Page County,IA,"7,864","7,189",675,8.6,2009
Palo Alto County,IA,"5,320","4,943",377,7.1,2009
Plymouth County,IA,"14,499","13,824",675,4.7,2009
Pocahontas County,IA,"4,132","3,895",237,5.7,2009
Polk County,IA,"243,967","229,011","14,956",6.1,2009
Pottawattamie County,IA,"48,372","45,904","2,468",5.1,2009
Poweshiek County,IA,"10,300","9,598",702,6.8,2009
Ringgold County,IA,"2,453","2,317",136,5.5,2009
Sac County,IA,"5,800","5,505",295,5.1,2009
Scott County,IA,"90,578","84,168","6,410",7.1,2009
Shelby County,IA,"7,600","7,296",304,4,2009
Sioux County,IA,"19,721","18,862",859,4.4,2009
Story County,IA,"49,361","47,021","2,340",4.7,2009
Tama County,IA,"8,974","8,326",648,7.2,2009
Taylor County,IA,"3,377","3,145",232,6.9,2009
